Pong
Episode Number,Episode Steps,Reward,Score,Epsilon
1529,2825,7.0,7.0,0.05
1530,3154,-2.0,-2.0,0.05
1531,2681,-6.0,-6.0,0.05
1532,2941,6.0,6.0,0.05
1533,3180,2.0,2.0,0.05
1534,2628,9.0,9.0,0.05
1535,2833,6.0,6.0,0.05
1536,2649,12.0,12.0,0.05
1537,3119,2.0,2.0,0.05
1538,2905,-4.0,-4.0,0.05
1539,2691,10.0,10.0,0.05
1540,2733,7.0,7.0,0.05
1541,3332,3.0,3.0,0.05
1542,3553,4.0,4.0,0.05
1543,2817,8.0,8.0,0.05
1544,2808,6.0,6.0,0.05
1545,2731,-6.0,-6.0,0.05
1546,2990,5.0,5.0,0.05
1547,2697,12.0,12.0,0.05
1548,3111,5.0,5.0,0.05
1549,3050,2.0,2.0,0.05
1550,3309,-2.0,-2.0,0.05
1551,2274,15.0,15.0,0.05
1552,2203,17.0,17.0,0.05
1553,2730,6.0,6.0,0.05
1554,2581,15.0,15.0,0.05
1555,2915,-3.0,-3.0,0.05
1556,3061,5.0,5.0,0.05
1557,3276,-2.0,-2.0,0.05
1558,2773,5.0,5.0,0.05
1559,2982,2.0,2.0,0.05
1560,2646,10.0,10.0,0.05
1561,3175,6.0,6.0,0.05
1562,2997,-3.0,-3.0,0.05
1563,3201,1.0,1.0,0.05
1564,2987,4.0,4.0,0.05
1565,3262,-1.0,-1.0,0.05
1566,2590,10.0,10.0,0.05
1567,3055,1.0,1.0,0.05
1568,2804,6.0,6.0,0.05
1569,3022,6.0,6.0,0.05
1570,2630,11.0,11.0,0.05
1571,2843,7.0,7.0,0.05
1572,2927,5.0,5.0,0.05
1573,2763,7.0,7.0,0.05
1574,2865,3.0,3.0,0.05
1575,2608,7.0,7.0,0.05
1576,2795,7.0,7.0,0.05
1577,2720,8.0,8.0,0.05
1578,2830,5.0,5.0,0.05
1579,2921,-5.0,-5.0,0.05
1580,3044,4.0,4.0,0.05
1581,2773,10.0,10.0,0.05
1582,3124,4.0,4.0,0.05
1583,3237,1.0,1.0,0.05
1584,2665,9.0,9.0,0.05
1585,2788,7.0,7.0,0.05
1586,3005,3.0,3.0,0.05
1587,2368,14.0,14.0,0.05
1588,2849,7.0,7.0,0.05
1589,2855,7.0,7.0,0.05
1590,3222,3.0,3.0,0.05
1591,3663,-1.0,-1.0,0.05
1592,2481,-9.0,-9.0,0.05
1593,2507,-9.0,-9.0,0.05
1594,2896,-7.0,-7.0,0.05
1595,3058,6.0,6.0,0.05
1596,3097,2.0,2.0,0.05
1597,3679,-1.0,-1.0,0.05
1598,2596,12.0,12.0,0.05
1599,2558,12.0,12.0,0.05
1600,2785,9.0,9.0,0.05
1601,2613,11.0,11.0,0.05
1602,3216,4.0,4.0,0.05
1603,2397,13.0,13.0,0.05
1604,3257,7.0,7.0,0.05
1605,2857,3.0,3.0,0.05
1606,2369,15.0,15.0,0.05
1607,2771,9.0,9.0,0.05
1608,3444,4.0,4.0,0.05
1609,2825,9.0,9.0,0.05
1610,2299,15.0,15.0,0.05
1611,2489,15.0,15.0,0.05
1612,2697,10.0,10.0,0.05
1613,2599,13.0,13.0,0.05
1614,2741,13.0,13.0,0.05
1615,2834,-6.0,-6.0,0.05
1616,3068,-6.0,-6.0,0.05
1617,3462,-1.0,-1.0,0.05
1618,2334,15.0,15.0,0.05
1619,3138,-5.0,-5.0,0.05
1620,2641,7.0,7.0,0.05
1621,3030,8.0,8.0,0.05
1622,2209,19.0,19.0,0.05
1623,2998,5.0,5.0,0.05
1624,2527,14.0,14.0,0.05
1625,2532,12.0,12.0,0.05
1626,2167,18.0,18.0,0.05
1627,2313,17.0,17.0,0.05
1628,2139,17.0,17.0,0.05
1629,3538,3.0,3.0,0.05
1630,2510,11.0,11.0,0.05
1631,2742,9.0,9.0,0.05
1632,2944,10.0,10.0,0.05
1633,2676,10.0,10.0,0.05
1634,2969,7.0,7.0,0.05
1635,3148,7.0,7.0,0.05
1636,3204,6.0,6.0,0.05
1637,3028,6.0,6.0,0.05
1638,2692,9.0,9.0,0.05
1639,2946,6.0,6.0,0.05
1640,2996,9.0,9.0,0.05
1641,3099,7.0,7.0,0.05
1642,3187,4.0,4.0,0.05
1643,3041,6.0,6.0,0.05
1644,3179,-2.0,-2.0,0.05
1645,2255,15.0,15.0,0.05
1646,3042,6.0,6.0,0.05
1647,2949,-7.0,-7.0,0.05
1648,2622,10.0,10.0,0.05
1649,3156,9.0,9.0,0.05
1650,3098,7.0,7.0,0.05
1651,3183,5.0,5.0,0.05
1652,3458,5.0,5.0,0.05
1653,3229,4.0,4.0,0.05
1654,2587,-10.0,-10.0,0.05
1655,2859,8.0,8.0,0.05
1656,3237,3.0,3.0,0.05
1657,3315,-1.0,-1.0,0.05
1658,2268,16.0,16.0,0.05
1659,2587,13.0,13.0,0.05
1660,3077,7.0,7.0,0.05
1661,2680,9.0,9.0,0.05
1662,3098,8.0,8.0,0.05
1663,2402,15.0,15.0,0.05
1664,3306,-3.0,-3.0,0.05
1665,3108,5.0,5.0,0.05
1666,3055,-4.0,-4.0,0.05
1667,2864,6.0,6.0,0.05
