Breakout,,,,,
Episode Number,Episode Steps,Cumulative Steps,Reward,Score,Epsilon
505,294,110674,2,2,0.1
506,251,110925,4,7,0.1
507,402,111327,7,7,0.1
508,260,111587,4,4,0.1
509,273,111860,2,2,0.1
510,321,112181,6,12,0.1
511,234,112415,3,3,0.1
512,269,112684,3,3,0.1
513,338,113022,4,4,0.1
514,297,113319,5,5,0.1
515,349,113668,6,12,0.1
516,399,114067,5,5,0.1
517,238,114305,3,3,0.1
518,214,114519,3,3,0.1
519,316,114835,5,8,0.1
520,340,115175,6,9,0.1
521,281,115456,4,7,0.1
522,265,115721,4,7,0.1
523,337,116058,6,6,0.1
524,235,116293,3,3,0.1
525,323,116616,5,5,0.1
526,354,116970,6,12,0.1
527,294,117264,4,4,0.1
528,258,117522,2,2,0.1
529,231,117753,3,3,0.1
530,373,118126,6,9,0.1
531,329,118455,4,4,0.1
532,203,118658,2,2,0.1
533,354,119012,5,8,0.1
534,331,119343,5,11,0.1
535,367,119710,4,4,0.1
536,324,120034,4,4,0.1
537,237,120271,1,1,0.1
538,307,120578,4,4,0.1
539,283,120861,4,4,0.1
540,319,121180,3,3,0.1
541,297,121477,5,5,0.1
542,294,121771,5,11,0.1
543,415,122186,5,5,0.1
544,298,122484,4,7,0.1
545,254,122738,4,4,0.1
546,357,123095,5,5,0.1
547,246,123341,4,7,0.1
548,363,123704,6,6,0.1
549,243,123947,3,3,0.1
550,221,124168,3,3,0.1
551,331,124499,5,5,0.1
552,364,124863,4,4,0.1
553,451,125314,6,9,0.1
554,244,125558,3,3,0.1
555,292,125850,5,11,0.1
556,230,126080,2,2,0.1
557,248,126328,4,4,0.1
558,225,126553,3,3,0.1
559,291,126844,4,4,0.1
560,291,127135,4,4,0.1
561,463,127598,7,10,0.1
562,377,127975,5,8,0.1
563,352,128327,6,9,0.1
564,477,128804,9,9,0.1
565,233,129037,3,3,0.1
566,276,129313,4,4,0.1
567,183,129496,2,2,0.1
568,213,129709,2,2,0.1
569,202,129911,2,2,0.1
570,242,130153,4,4,0.1
571,246,130399,3,3,0.1
572,327,130726,6,9,0.1
573,216,130942,3,3,0.1
574,253,131195,4,7,0.1
575,216,131411,3,3,0.1
576,245,131656,3,3,0.1
577,184,131840,2,2,0.1
578,419,132259,8,11,0.1
579,244,132503,4,4,0.1
580,425,132928,5,8,0.1
581,298,133226,5,8,0.1
582,276,133502,4,4,0.1
583,212,133714,3,3,0.1
584,210,133924,3,3,0.1
585,221,134145,3,3,0.1
586,332,134477,6,12,0.1
587,182,134659,2,2,0.1
588,213,134872,3,3,0.1
589,298,135170,6,12,0.1
590,253,135423,4,7,0.1
591,210,135633,3,3,0.1
592,251,135884,4,7,0.1
593,414,136298,6,9,0.1
594,307,136605,5,8,0.1
595,505,137110,10,13,0.1
596,255,137365,3,3,0.1
597,271,137636,5,11,0.1
598,248,137884,4,7,0.1
599,313,138197,5,11,0.1
600,329,138526,4,4,0.1
601,245,138771,4,7,0.1
602,335,139106,6,12,0.1
603,270,139376,5,11,0.1
604,396,139772,7,10,0.1
605,271,140043,5,11,0.1
606,244,140287,4,4,0.1
607,267,140554,5,11,0.1
608,344,140898,6,6,0.1
609,262,141160,4,4,0.1
610,422,141582,7,16,0.1
611,490,142072,7,13,0.1
612,315,142387,5,8,0.1
613,342,142729,6,6,0.1
614,270,142999,5,11,0.1
615,246,143245,4,7,0.1
616,262,143507,4,4,0.1
617,277,143784,4,7,0.1
618,371,144155,4,4,0.1
619,277,144432,5,8,0.1
620,368,144800,7,10,0.1
621,262,145062,4,4,0.1
622,342,145404,6,9,0.1
623,277,145681,5,8,0.1
624,316,145997,4,7,0.1
625,266,146263,4,4,0.1
626,405,146668,8,11,0.1
627,324,146992,6,9,0.1
628,281,147273,5,8,0.1
629,257,147530,4,7,0.1
630,267,147797,5,11,0.1
631,269,148066,5,11,0.1
632,214,148280,3,3,0.1
633,256,148536,4,7,0.1
634,319,148855,6,12,0.1
635,247,149102,4,7,0.1
636,248,149350,4,7,0.1
637,316,149666,6,12,0.1
638,263,149929,4,4,0.1
639,245,150174,4,4,0.1
640,424,150598,6,12,0.1
641,300,150898,5,8,0.1
642,248,151146,2,2,0.1
643,296,151442,5,8,0.1
644,308,151750,5,5,0.1
645,261,152011,4,4,0.1
646,214,152225,3,3,0.1
647,246,152471,4,7,0.1
648,267,152738,5,11,0.1
649,279,153017,5,8,0.1
650,245,153262,4,4,0.1
651,325,153587,5,11,0.1
652,246,153833,4,7,0.1
653,347,154180,6,9,0.1
654,254,154434,4,7,0.1
655,279,154713,5,8,0.1
656,289,155002,5,5,0.1
657,212,155214,3,3,0.1
658,262,155476,4,4,0.1
659,268,155744,5,11,0.1
660,306,156050,5,11,0.1
661,297,156347,5,8,0.1
662,347,156694,6,6,0.1
663,378,157072,7,13,0.1
664,319,157391,6,12,0.1
665,324,157715,5,5,0.1
666,553,158268,4,7,0.1
667,264,158532,3,3,0.1
668,300,158832,5,11,0.1
669,281,159113,3,3,0.1
670,297,159410,4,7,0.1
671,330,159740,6,9,0.1
672,300,160040,4,4,0.1
673,314,160354,4,7,0.1
674,280,160634,5,8,0.1
675,341,160975,7,10,0.1
676,203,161178,2,2,0.1
677,252,161430,4,7,0.1
678,330,161760,5,5,0.1
679,183,161943,2,2,0.1
680,246,162189,4,4,0.1
681,247,162436,4,7,0.1
682,365,162801,7,13,0.1
683,307,163108,5,8,0.1
684,231,163339,3,3,0.1
685,358,163697,6,6,0.1
686,298,163995,6,12,0.1
687,271,164266,5,11,0.1
688,392,164658,6,12,0.1
689,247,164905,4,7,0.1
690,268,165173,4,4,0.1
691,213,165386,3,3,0.1
692,287,165673,4,4,0.1
693,232,165905,3,3,0.1
694,304,166209,5,8,0.1
695,266,166475,4,4,0.1
696,336,166811,6,9,0.1
697,435,167246,6,6,0.1
698,355,167601,7,13,0.1
699,244,167845,4,4,0.1
700,353,168198,6,9,0.1
701,277,168475,4,4,0.1
702,338,168813,6,12,0.1
703,260,169073,4,7,0.1
704,252,169325,3,3,0.1
705,268,169593,4,4,0.1
706,248,169841,4,7,0.1
707,297,170138,4,7,0.1
708,343,170481,6,12,0.1
709,347,170828,6,12,0.1
710,320,171148,4,7,0.1
711,246,171394,4,7,0.1
712,323,171717,6,6,0.1
713,262,171979,4,4,0.1
714,330,172309,5,11,0.1
715,347,172656,6,9,0.1
716,283,172939,6,12,0.1
717,282,173221,3,3,0.1
718,481,173702,8,11,0.1
719,306,174008,4,7,0.1
720,378,174386,6,6,0.1
721,267,174653,5,11,0.1
722,255,174908,4,7,0.1
723,243,175151,4,4,0.1
724,317,175468,4,4,0.1
725,339,175807,6,6,0.1
726,213,176020,3,3,0.1
727,154,176174,1,1,0.1
728,325,176499,5,8,0.1
729,250,176749,4,7,0.1
730,283,177032,5,5,0.1
731,236,177268,3,3,0.1
732,285,177553,4,7,0.1
733,369,177922,4,7,0.1
