Pong,,,,
Episode Number,Episode Steps,Reward,Score,Epsilon
800,1060,-19,-19,0.05
801,1155,-19,-19,0.05
802,1000,-19,-19,0.05
803,1068,-19,-19,0.05
804,1243,-17,-17,0.05
805,959,-20,-20,0.05
806,1148,-18,-18,0.05
807,899,-20,-20,0.05
808,1183,-19,-19,0.05
809,1285,-18,-18,0.05
810,1156,-20,-20,0.05
811,1299,-18,-18,0.05
812,1407,-17,-17,0.05
813,1094,-19,-19,0.05
814,1434,-16,-16,0.05
815,1217,-19,-19,0.05
816,1401,-18,-18,0.05
817,1651,-18,-18,0.05
818,1189,-20,-20,0.05
819,1342,-18,-18,0.05
820,1261,-17,-17,0.05
821,1436,-19,-19,0.05
822,1179,-18,-18,0.05
823,1596,-18,-18,0.05
824,1264,-17,-17,0.05
825,1307,-17,-17,0.05
826,1257,-20,-20,0.05
827,1519,-16,-16,0.05
828,1227,-20,-20,0.05
829,1236,-19,-19,0.05
830,1161,-18,-18,0.05
831,1429,-17,-17,0.05
832,916,-20,-20,0.05
833,1285,-18,-18,0.05
834,1318,-16,-16,0.05
835,1344,-17,-17,0.05
836,1435,-16,-16,0.05
837,1134,-18,-18,0.05
838,988,-19,-19,0.05
839,1678,-15,-15,0.05
840,1267,-17,-17,0.05
841,1148,-19,-19,0.05
842,1532,-18,-18,0.05
843,1590,-13,-13,0.05
844,1294,-18,-18,0.05
845,1342,-17,-17,0.05
846,1406,-18,-18,0.05
847,1500,-17,-17,0.05
848,1284,-17,-17,0.05
849,1532,-15,-15,0.05
850,1334,-17,-17,0.05
851,1248,-18,-18,0.05
852,1591,-16,-16,0.05
853,1590,-15,-15,0.05
854,1269,-18,-18,0.05
855,1306,-17,-17,0.05
856,1504,-15,-15,0.05
857,1156,-19,-19,0.05
858,1011,-19,-19,0.05
859,1394,-16,-16,0.05
860,1482,-17,-17,0.05
861,1535,-14,-14,0.05
862,1351,-18,-18,0.05
863,1265,-17,-17,0.05
864,1119,-18,-18,0.05
865,1320,-17,-17,0.05
866,1601,-16,-16,0.05
867,1310,-20,-20,0.05
868,1147,-20,-20,0.05
869,1888,-15,-15,0.05
870,1487,-18,-18,0.05
871,1463,-15,-15,0.05
872,1468,-16,-16,0.05
873,1692,-16,-16,0.05
874,1428,-17,-17,0.05
875,1347,-18,-18,0.05
876,1448,-15,-15,0.05
877,1439,-19,-19,0.05
878,1352,-16,-16,0.05
879,1384,-16,-16,0.05
880,1285,-19,-19,0.05
881,1302,-17,-17,0.05
882,1227,-18,-18,0.05
883,1696,-14,-14,0.05
884,1581,-15,-15,0.05
885,1501,-16,-16,0.05
886,1441,-17,-17,0.05
887,1188,-18,-18,0.05
888,1562,-16,-16,0.05
889,1289,-16,-16,0.05
890,1389,-17,-17,0.05
891,1629,-16,-16,0.05
892,1691,-16,-16,0.05
893,1587,-16,-16,0.05
894,1506,-17,-17,0.05
895,1262,-17,-17,0.05
896,1580,-16,-16,0.05
897,1205,-18,-18,0.05
898,1536,-17,-17,0.05
899,1594,-16,-16,0.05
900,1633,-17,-17,0.05
901,1626,-14,-14,0.05
902,1289,-18,-18,0.05
903,1443,-17,-17,0.05
904,1536,-18,-18,0.05
905,1484,-16,-16,0.05
906,1384,-16,-16,0.05
907,1559,-17,-17,0.05
908,1358,-19,-19,0.05
909,1166,-19,-19,0.05
910,1394,-17,-17,0.05
911,1659,-16,-16,0.05
912,1314,-20,-20,0.05
913,1919,-14,-14,0.05
914,1358,-17,-17,0.05
915,1804,-15,-15,0.05
916,1423,-17,-17,0.05
917,1845,-16,-16,0.05
918,1758,-16,-16,0.05
919,1440,-17,-17,0.05
920,1627,-18,-18,0.05
921,1271,-17,-17,0.05
922,1296,-18,-18,0.05
923,1218,-19,-19,0.05
924,1619,-15,-15,0.05
925,1440,-18,-18,0.05
926,1388,-18,-18,0.05
