Seaquest
Episode Number,Episode Steps,Reward,Score,Epsilon
1781,649,10.0,200.0,0.05
1782,1124,15.0,300.0,0.05
1783,637,9.0,180.0,0.05
1784,1096,14.0,280.0,0.05
1785,744,11.0,220.0,0.05
1786,466,4.0,80.0,0.05
1787,1180,19.0,380.0,0.05
1788,1072,19.0,380.0,0.05
1789,789,13.0,260.0,0.05
1790,1067,14.0,280.0,0.05
1791,851,11.0,220.0,0.05
1792,813,8.0,160.0,0.05
1793,1019,16.0,320.0,0.05
1794,1280,24.0,480.0,0.05
1795,1317,18.0,360.0,0.05
1796,1234,19.0,380.0,0.05
1797,516,7.0,140.0,0.05
1798,908,13.0,260.0,0.05
1799,1418,21.0,420.0,0.05
1800,826,10.0,220.0,0.05
1801,1160,17.0,340.0,0.05
1802,533,4.0,80.0,0.05
1803,1078,14.0,280.0,0.05
1804,982,19.0,380.0,0.05
1805,818,10.0,200.0,0.05
1806,1188,15.0,300.0,0.05
1807,821,5.0,100.0,0.05
1808,770,6.0,120.0,0.05
1809,590,7.0,140.0,0.05
1810,971,13.0,260.0,0.05
1811,871,13.0,260.0,0.05
1812,812,13.0,260.0,0.05
1813,1005,15.0,300.0,0.05
1814,1282,19.0,380.0,0.05
1815,982,13.0,260.0,0.05
1816,1150,11.0,240.0,0.05
1817,1110,19.0,380.0,0.05
1818,763,9.0,180.0,0.05
1819,589,7.0,140.0,0.05
1820,877,10.0,220.0,0.05
1821,1520,20.0,400.0,0.05
1822,687,9.0,180.0,0.05
1823,1413,23.0,460.0,0.05
1824,547,6.0,120.0,0.05
1825,849,12.0,240.0,0.05
1826,1120,18.0,360.0,0.05
1827,1625,24.0,480.0,0.05
1828,947,17.0,340.0,0.05
1829,919,11.0,220.0,0.05
1830,889,13.0,260.0,0.05
1831,971,12.0,240.0,0.05
1832,912,14.0,280.0,0.05
1833,764,10.0,200.0,0.05
1834,2012,32.0,640.0,0.05
1835,1029,11.0,220.0,0.05
1836,843,11.0,220.0,0.05
1837,955,13.0,260.0,0.05
1838,678,10.0,200.0,0.05
1839,992,17.0,340.0,0.05
1840,1221,18.0,360.0,0.05
1841,1730,24.0,480.0,0.05
1842,1169,16.0,320.0,0.05
1843,1230,18.0,360.0,0.05
1844,848,11.0,220.0,0.05
1845,1662,29.0,580.0,0.05
1846,1143,19.0,380.0,0.05
1847,553,6.0,120.0,0.05
1848,1453,22.0,440.0,0.05
1849,764,10.0,200.0,0.05
1850,1440,24.0,480.0,0.05
1851,737,10.0,200.0,0.05
1852,605,7.0,140.0,0.05
1853,931,15.0,300.0,0.05
1854,1015,15.0,320.0,0.05
1855,1593,23.0,460.0,0.05
1856,684,9.0,200.0,0.05
1857,1264,17.0,340.0,0.05
1858,1116,21.0,440.0,0.05
1859,800,11.0,220.0,0.05
1860,934,13.0,280.0,0.05
1861,1504,29.0,580.0,0.05
1862,895,12.0,240.0,0.05
1863,417,5.0,120.0,0.05
1864,1062,21.0,420.0,0.05
1865,566,7.0,140.0,0.05
1866,1016,13.0,260.0,0.05
1867,507,5.0,100.0,0.05
1868,620,7.0,140.0,0.05
1869,976,13.0,260.0,0.05
1870,601,7.0,140.0,0.05
1871,865,9.0,180.0,0.05
1872,646,8.0,160.0,0.05
1873,1130,19.0,380.0,0.05
1874,1355,20.0,400.0,0.05
1875,1017,15.0,300.0,0.05
1876,1552,22.0,460.0,0.05
1877,585,9.0,180.0,0.05
1878,1100,19.0,400.0,0.05
1879,1394,25.0,500.0,0.05
1880,1067,16.0,320.0,0.05
1881,1018,13.0,260.0,0.05
1882,1222,12.0,240.0,0.05
1883,1303,23.0,460.0,0.05
1884,549,4.0,80.0,0.05
1885,1136,18.0,360.0,0.05
1886,1330,21.0,420.0,0.05
1887,788,13.0,260.0,0.05
1888,1576,24.0,480.0,0.05
1889,881,11.0,220.0,0.05
1890,1096,17.0,340.0,0.05
1891,1114,20.0,400.0,0.05
1892,751,9.0,180.0,0.05
1893,1908,29.0,580.0,0.05
1894,939,12.0,240.0,0.05
1895,1033,15.0,300.0,0.05
1896,1099,17.0,340.0,0.05
1897,898,15.0,320.0,0.05
1898,829,14.0,280.0,0.05
1899,1067,17.0,340.0,0.05
1900,742,10.0,200.0,0.05
1901,893,15.0,300.0,0.05
1902,1291,21.0,440.0,0.05
1903,1226,18.0,360.0,0.05
1904,1089,13.0,260.0,0.05
1905,994,16.0,320.0,0.05
1906,948,16.0,340.0,0.05
1907,763,13.0,260.0,0.05
1908,943,17.0,360.0,0.05
1909,552,7.0,140.0,0.05
1910,1444,20.0,400.0,0.05
1911,936,16.0,320.0,0.05
1912,950,15.0,300.0,0.05
1913,1232,18.0,360.0,0.05
1914,704,9.0,200.0,0.05
1915,750,10.0,200.0,0.05
1916,596,8.0,180.0,0.05
1917,1079,18.0,360.0,0.05
1918,1330,22.0,460.0,0.05
1919,633,9.0,180.0,0.05
1920,944,13.0,260.0,0.05
1921,1558,24.0,480.0,0.05
1922,455,7.0,140.0,0.05
1923,1202,18.0,360.0,0.05
1924,1037,15.0,300.0,0.05
1925,1411,26.0,520.0,0.05
1926,1181,13.0,260.0,0.05
1927,553,8.0,160.0,0.05
1928,1223,18.0,360.0,0.05
1929,1504,19.0,380.0,0.05
1930,1077,15.0,300.0,0.05
1931,662,6.0,120.0,0.05
1932,872,14.0,280.0,0.05
1933,973,12.0,240.0,0.05
1934,582,8.0,160.0,0.05
1935,1201,19.0,380.0,0.05
1936,472,4.0,80.0,0.05
1937,1222,22.0,440.0,0.05
1938,1294,25.0,520.0,0.05
1939,1153,16.0,320.0,0.05
1940,881,11.0,220.0,0.05
1941,979,13.0,260.0,0.05
1942,1312,10.0,200.0,0.05
1943,1498,27.0,540.0,0.05
1944,1425,21.0,420.0,0.05
1945,1732,24.0,500.0,0.05
1946,1496,27.0,540.0,0.05
1947,582,5.0,100.0,0.05
1948,1064,14.0,280.0,0.05
1949,476,5.0,120.0,0.05
1950,1506,26.0,520.0,0.05
1951,905,14.0,280.0,0.05
1952,1763,33.0,660.0,0.05
1953,965,14.0,280.0,0.05
1954,1096,17.0,340.0,0.05
1955,689,10.0,200.0,0.05
1956,2091,34.0,700.0,0.05
1957,1183,20.0,400.0,0.05
1958,1275,21.0,420.0,0.05
1959,1856,31.0,620.0,0.05
1960,1449,17.0,340.0,0.05
1961,1373,23.0,460.0,0.05
1962,1080,15.0,300.0,0.05
1963,1242,19.0,380.0,0.05
1964,1000,14.0,280.0,0.05
1965,1364,21.0,420.0,0.05
1966,1098,14.0,280.0,0.05
1967,813,9.0,180.0,0.05
1968,467,4.0,100.0,0.05
1969,642,7.0,140.0,0.05
1970,1407,24.0,480.0,0.05
1971,1120,20.0,400.0,0.05
1972,1190,16.0,320.0,0.05
1973,1464,25.0,500.0,0.05
1974,1138,16.0,320.0,0.05
1975,787,9.0,180.0,0.05
1976,1275,18.0,360.0,0.05
1977,1293,21.0,440.0,0.05
1978,1094,17.0,340.0,0.05
1979,873,13.0,260.0,0.05
1980,1708,29.0,580.0,0.05
1981,1225,18.0,360.0,0.05
1982,1240,17.0,340.0,0.05
1983,1219,18.0,380.0,0.05
1984,1036,18.0,360.0,0.05
1985,1709,29.0,580.0,0.05
1986,772,16.0,320.0,0.05
1987,1149,18.0,360.0,0.05
1988,918,16.0,320.0,0.05
1989,1912,33.0,660.0,0.05
1990,1038,15.0,300.0,0.05
1991,1106,12.0,240.0,0.05
1992,1047,15.0,300.0,0.05
1993,843,12.0,240.0,0.05
1994,1572,26.0,520.0,0.05
1995,661,10.0,200.0,0.05
1996,665,7.0,140.0,0.05
1997,1340,23.0,480.0,0.05
1998,755,15.0,300.0,0.05
1999,793,11.0,220.0,0.05
2000,1259,21.0,420.0,0.05
2001,760,13.0,260.0,0.05
2002,1182,14.0,280.0,0.05
2003,1931,29.0,580.0,0.05
2004,1366,20.0,400.0,0.05
2005,910,13.0,260.0,0.05
2006,1232,20.0,400.0,0.05
2007,511,8.0,160.0,0.05
2008,1296,20.0,400.0,0.05
2009,870,13.0,260.0,0.05
2010,1310,20.0,400.0,0.05
2011,1004,15.0,300.0,0.05
2012,829,13.0,260.0,0.05
2013,632,6.0,120.0,0.05
2014,704,5.0,120.0,0.05
2015,1704,28.0,560.0,0.05
2016,1333,22.0,440.0,0.05
2017,868,13.0,260.0,0.05
2018,1213,19.0,380.0,0.05
2019,1304,21.0,420.0,0.05
2020,1073,18.0,360.0,0.05
2021,1086,13.0,260.0,0.05
2022,1069,18.0,360.0,0.05
2023,1152,19.0,380.0,0.05
2024,1073,15.0,300.0,0.05
2025,2072,33.0,660.0,0.05
2026,632,9.0,180.0,0.05
2027,1408,23.0,460.0,0.05
2028,2040,30.0,600.0,0.05
2029,737,9.0,200.0,0.05
2030,911,16.0,320.0,0.05
2031,1000,15.0,300.0,0.05
2032,1285,18.0,360.0,0.05
2033,1008,15.0,300.0,0.05
2034,1411,21.0,420.0,0.05
2035,468,7.0,140.0,0.05
2036,1022,17.0,360.0,0.05
2037,935,13.0,260.0,0.05
2038,1201,22.0,440.0,0.05
2039,451,4.0,80.0,0.05
2040,1675,30.0,600.0,0.05
2041,1171,20.0,400.0,0.05
2042,683,6.0,120.0,0.05
2043,1331,22.0,460.0,0.05
2044,641,7.0,140.0,0.05
2045,1104,16.0,320.0,0.05
2046,1303,25.0,500.0,0.05
2047,1419,24.0,480.0,0.05
2048,587,6.0,120.0,0.05
2049,955,14.0,280.0,0.05
2050,1467,21.0,420.0,0.05
2051,807,10.0,200.0,0.05
2052,1747,29.0,580.0,0.05
2053,1593,27.0,540.0,0.05
2054,914,15.0,300.0,0.05
2055,1064,14.0,280.0,0.05
2056,1292,21.0,420.0,0.05
2057,1045,20.0,400.0,0.05
2058,1008,18.0,360.0,0.05
2059,1345,22.0,440.0,0.05
2060,1257,22.0,440.0,0.05
2061,1769,30.0,600.0,0.05
2062,986,15.0,320.0,0.05
2063,1560,28.0,560.0,0.05
2064,1264,19.0,380.0,0.05
2065,2090,39.0,780.0,0.05
2066,1419,24.0,480.0,0.05
2067,1324,21.0,420.0,0.05
2068,1800,34.0,680.0,0.05
2069,1732,29.0,580.0,0.05
2070,1165,18.0,360.0,0.05
2071,795,12.0,240.0,0.05
2072,1820,29.0,580.0,0.05
2073,1148,17.0,340.0,0.05
2074,1590,24.0,480.0,0.05
2075,1759,33.0,660.0,0.05
2076,1488,26.0,520.0,0.05
2077,1386,25.0,500.0,0.05
2078,520,5.0,100.0,0.05
2079,1461,21.0,420.0,0.05
2080,937,16.0,320.0,0.05
2081,1555,28.0,560.0,0.05
2082,1794,30.0,600.0,0.05
2083,865,15.0,300.0,0.05
2084,1258,19.0,380.0,0.05
2085,805,11.0,240.0,0.05
2086,1344,20.0,400.0,0.05
2087,1083,16.0,320.0,0.05
2088,810,13.0,260.0,0.05
2089,2040,36.0,720.0,0.05
2090,1336,22.0,440.0,0.05
2091,509,6.0,120.0,0.05
2092,444,4.0,80.0,0.05
2093,1063,14.0,280.0,0.05
2094,1421,26.0,520.0,0.05
2095,731,10.0,200.0,0.05
2096,1760,29.0,580.0,0.05
2097,570,7.0,140.0,0.05
2098,1363,23.0,460.0,0.05
2099,516,5.0,100.0,0.05
2100,1020,14.0,280.0,0.05
2101,2048,35.0,700.0,0.05
2102,1047,17.0,340.0,0.05
2103,835,11.0,220.0,0.05
2104,562,4.0,80.0,0.05
2105,1114,19.0,380.0,0.05
2106,1432,24.0,480.0,0.05
2107,970,14.0,280.0,0.05
2108,1072,19.0,380.0,0.05
2109,1840,31.0,620.0,0.05
2110,1352,25.0,500.0,0.05
2111,618,9.0,180.0,0.05
2112,1604,29.0,580.0,0.05
2113,1088,15.0,300.0,0.05
2114,1416,24.0,480.0,0.05
2115,1578,26.0,520.0,0.05
2116,1368,23.0,460.0,0.05
2117,1040,14.0,280.0,0.05
2118,1131,21.0,420.0,0.05
2119,514,7.0,140.0,0.05
2120,1408,25.0,500.0,0.05
2121,1243,17.0,340.0,0.05
2122,1736,27.0,540.0,0.05
2123,1198,21.0,420.0,0.05
2124,1533,23.0,460.0,0.05
2125,1451,25.0,500.0,0.05
2126,1728,32.0,640.0,0.05
2127,1464,25.0,500.0,0.05
2128,1171,19.0,380.0,0.05
2129,1482,25.0,500.0,0.05
2130,932,15.0,300.0,0.05
2131,476,6.0,120.0,0.05
2132,1321,24.0,480.0,0.05
2133,1369,25.0,500.0,0.05
2134,1635,30.0,600.0,0.05
2135,976,12.0,240.0,0.05
2136,1360,20.0,400.0,0.05
2137,1150,18.0,380.0,0.05
2138,687,8.0,160.0,0.05
2139,799,10.0,200.0,0.05
2140,1822,30.0,600.0,0.05
2141,1338,22.0,440.0,0.05
2142,1108,16.0,320.0,0.05
2143,471,6.0,120.0,0.05
2144,1449,27.0,540.0,0.05
2145,1131,18.0,360.0,0.05
2146,636,6.0,120.0,0.05
2147,944,16.0,320.0,0.05
2148,1360,25.0,500.0,0.05
2149,1293,21.0,420.0,0.05
2150,930,15.0,300.0,0.05
2151,1547,27.0,540.0,0.05
2152,859,11.0,240.0,0.05
2153,1680,31.0,620.0,0.05
2154,827,16.0,320.0,0.05
2155,1568,26.0,520.0,0.05
2156,1646,29.0,580.0,0.05
2157,1794,35.0,720.0,0.05
2158,1457,23.0,480.0,0.05
2159,1095,19.0,380.0,0.05
2160,873,14.0,280.0,0.05
2161,1131,18.0,360.0,0.05
2162,1165,19.0,380.0,0.05
2163,1136,16.0,320.0,0.05
2164,1196,18.0,360.0,0.05
2165,1579,24.0,480.0,0.05
2166,1348,20.0,400.0,0.05
2167,1085,19.0,380.0,0.05
2168,1386,20.0,400.0,0.05
2169,960,16.0,320.0,0.05
2170,1028,17.0,340.0,0.05
2171,1263,20.0,400.0,0.05
2172,1273,22.0,440.0,0.05
2173,501,7.0,140.0,0.05
2174,1408,24.0,480.0,0.05
2175,2192,35.0,700.0,0.05
2176,502,6.0,120.0,0.05
2177,888,12.0,240.0,0.05
2178,1984,35.0,700.0,0.05
2179,996,16.0,320.0,0.05
2180,1544,26.0,520.0,0.05
2181,691,11.0,220.0,0.05
2182,1508,24.0,480.0,0.05
2183,2232,39.0,780.0,0.05
2184,1435,25.0,500.0,0.05
2185,1272,20.0,400.0,0.05
2186,1384,24.0,480.0,0.05
2187,1763,34.0,680.0,0.05
2188,1315,19.0,380.0,0.05
2189,726,11.0,220.0,0.05
2190,1467,25.0,500.0,0.05
2191,1393,22.0,440.0,0.05
2192,1748,32.0,640.0,0.05
2193,926,14.0,280.0,0.05
2194,526,7.0,140.0,0.05
2195,1355,20.0,400.0,0.05
2196,1070,19.0,380.0,0.05
2197,1152,17.0,340.0,0.05
